step_id,recipe_id,step_number,step_text
step_000066,recipe_007,4,Add chopped tomatoes and cook until mushy.
step_000067,recipe_007,5,Season with salt and spices to taste.
step_000068,recipe_007,6,Add a little water to make gravy and simmer 5 mins.
step_000069,recipe_007,7,Make shallow slits in eggs and add to gravy.
step_000070,recipe_007,8,Simmer eggs in gravy for 5–7 minutes.
step_000071,recipe_007,9,Garnish with coriander and serve hot.
step_000072,recipe_007,10,Serve with rice or roti.
step_000073,recipe_008,1,Rinse rice and soak for 10 minutes.
step_000074,recipe_008,2,Heat ghee in a pot and add cumin seeds.
step_000075,recipe_008,3,Sauté cumin seeds until aromatic.
step_000076,recipe_008,4,Add drained rice and stir for a minute.
step_000077,recipe_008,5,Add 2 cups water and salt; mix gently.
step_000078,recipe_008,6,"Bring to boil, then reduce heat, cover and cook 12 minutes."
step_000079,recipe_008,7,Turn off heat and rest covered for 5 minutes.
step_000080,recipe_008,8,Fluff with fork and serve.
step_000081,recipe_008,9,Optional: garnish with fried cashews.
step_000082,recipe_008,10,Serve hot with dal or curry.
step_000083,recipe_009,1,Chop tomatoes and onion roughly.
step_000084,recipe_009,2,Heat butter in a pan and sauté onion until soft.
step_000085,recipe_009,3,Add chopped tomatoes and cook until soft.
step_000086,recipe_009,4,Add water and salt; simmer 8–10 minutes.
step_000087,recipe_009,5,Blend the mixture until smooth.
step_000088,recipe_009,6,Strain soup if a smoother texture is desired.
step_000089,recipe_009,7,"Reheat, adjust salt, and add a dash of pepper."
step_000090,recipe_009,8,Serve hot with croutons or bread.
step_000091,recipe_009,9,Optional: add cream swirl for richness.
step_000092,recipe_009,10,Store leftovers in fridge up to 2 days.
step_000093,recipe_010,1,Heat oil in a pan and add mustard seeds.
step_000094,recipe_010,2,"When seeds pop, add curry leaves and sauté."
step_000095,recipe_010,3,Add 2.5 cups water and bring to a boil.
step_000096,recipe_010,4,Slowly add sooji while stirring to avoid lumps.
step_000097,recipe_010,5,Add salt and mix thoroughly.
step_000098,recipe_010,6,Cook on low heat for 4–5 minutes till water absorbs.
step_000099,recipe_010,7,Turn off heat and cover for 2 minutes.
step_000100,recipe_010,8,Fluff with a fork and serve hot.
step_000101,recipe_010,9,Optional: garnish with lemon and coriander.
step_000102,recipe_010,10,Serve with chutney or pickle.
step_000103,recipe_011,1,Rinse poha briefly and drain; keep aside.
step_000104,recipe_011,2,Heat oil and add mustard seeds; let them crackle.
step_000105,recipe_011,3,Add peanuts and roast until crisp.
step_000106,recipe_011,4,Add chopped onions and cook until translucent.
step_000107,recipe_011,5,Add turmeric and mix well.
step_000108,recipe_011,6,Add drained poha and salt; mix gently.
step_000109,recipe_011,7,Cook for 1–2 minutes to heat through.
step_000110,recipe_011,8,Turn off heat and add lemon juice.
step_000111,recipe_011,9,Garnish with coriander and serve.
step_000112,recipe_011,10,Serve warm with chai or as a snack.
step_000113,recipe_012,1,Heat oil and sauté chopped onions till golden.
step_000114,recipe_012,2,Add ginger-garlic paste and sauté briefly.
step_000115,recipe_012,3,Add chopped tomatoes and cook until mushy.
step_000116,recipe_012,4,Add chole masala and mix well.
step_000117,recipe_012,5,Add boiled chickpeas and 1 cup water; stir.
step_000118,recipe_012,6,Simmer for 15 minutes on low heat.
step_000119,recipe_012,7,Adjust salt and spices to taste.
step_000120,recipe_012,8,Garnish with coriander and serve hot.
step_000121,recipe_012,9,"Serve with bhatura, puri or rice."
step_000122,recipe_012,10,Store leftovers in fridge up to 3 days.
step_000123,recipe_013,1,Heat oil in a wok on high heat.
step_000124,recipe_013,2,Add mixed vegetables and stir-fry until tender.
step_000125,recipe_013,3,Add cooked rice and toss well.
step_000126,recipe_013,4,Add soy sauce and mix thoroughly.
step_000127,recipe_013,5,Season with salt/pepper as needed.
step_000128,recipe_013,6,Garnish with chopped green onion.
step_000129,recipe_013,7,Serve immediately while hot.
step_000130,recipe_013,8,Optional: add scrambled egg for non-veg version.
step_000131,recipe_013,9,Adjust seasoning and serve.
step_000132,recipe_013,10,Store leftovers separately for best texture.
step_000133,recipe_014,1,Heat ghee in a pan and roast rava until aromatic.
step_000134,recipe_014,2,Boil water with cardamom pods.
step_000135,recipe_014,3,Slowly add rava to boiling water while stirring.
step_000136,recipe_014,4,Add sugar and mix until dissolved.
step_000137,recipe_014,5,Cook on low heat until sheera thickens.
step_000138,recipe_014,6,Add a little ghee for shine and flavor.
step_000139,recipe_014,7,Turn off heat and let it rest for a minute.
step_000140,recipe_014,8,Serve warm; garnish with nuts if desired.
step_000141,recipe_014,9,Store leftovers in fridge for a day.
step_000142,recipe_014,10,Reheat gently before serving.
step_000143,recipe_015,1,Rinse dal and cook until soft.
step_000144,recipe_015,2,Mash dal slightly to desired consistency.
step_000145,recipe_015,3,Heat ghee and add cumin and garlic.
step_000146,recipe_015,4,Add chopped tomato and cook into a thick masala.
step_000147,recipe_015,5,Combine dal with the masala and simmer.
step_000148,recipe_015,6,Adjust salt and add water if needed.
step_000149,recipe_015,7,Finish with a tadka (ghee + spices) poured on top.
step_000150,recipe_015,8,Garnish with coriander and serve hot.
step_000151,recipe_015,9,Serve with steamed rice or roti.
step_000152,recipe_015,10,Store leftovers in refrigerator.
